11-29-2023, 12:41:28:254, sync, seq, endMon, SWPMON, temp1, temp2, adc
11-29-2023, 12:43:58:797, , , , , , , 
11-29-2023, 12:43:59:36, 0xAAAA, 1497, 02.407, , , , 
11-29-2023, 12:43:59:156, 0xAAAA, 1499, 02.406, , , , 
11-29-2023, 12:43:59:278, 0xAAAA, 1500, 02.404, , , , 
11-29-2023, 12:43:59:399, 0xAAAA, 1501, 02.405, , , , 
11-29-2023, 12:43:59:550, 0xAAAA, 1502, 02.404, , , , 
11-29-2023, 12:43:59:640, 0xAAAA, 1503, 02.407, , , , 
11-29-2023, 12:43:59:789, 0xAAAA, 1504, 02.406, , , , 
11-29-2023, 12:43:59:909, 0xAAAA, 1505, 02.404, , , , 
11-29-2023, 12:44:00:31, 0xAAAA, 1506, 02.403, , , , 
11-29-2023, 12:44:00:153, 0xAAAA, 1507, 02.406, , , , 
11-29-2023, 12:44:00:273, 0xAAAA, 1508, 02.404, , , , 
11-29-2023, 12:44:00:393, 0xAAAA, 1509, 02.409, , , , 
11-29-2023, 12:44:00:542, 0xAAAA, 1510, 02.403, , , , 
11-29-2023, 12:44:00:666, 0xAAAA, 1511, 02.403, , , , 
11-29-2023, 12:44:00:761, 0xAAAA, 1512, 02.404, , , , 
11-29-2023, 12:44:00:885, 0xAAAA, 1513, 02.405, , , , 
11-29-2023, 12:44:01:34, 0xAAAA, 1514, 02.406, , , , 
11-29-2023, 12:44:01:154, 0xAAAA, 1515, 02.403, , , , 
11-29-2023, 12:44:01:274, 0xAAAA, 1516, 02.404, , , , 
11-29-2023, 12:44:01:400, 0xAAAA, 1517, 02.404, , , , 
11-29-2023, 12:44:01:522, 0xAAAA, 1518, 02.407, , , , 
11-29-2023, 12:44:01:644, 0xAAAA, 1519, 02.404, , , , 
11-29-2023, 12:44:01:764, 0xAAAA, 1520, 02.405, , , , 
11-29-2023, 12:44:01:884, 0xAAAA, 1521, 02.408, , , , 
11-29-2023, 12:44:02:5, 0xAAAA, 1522, 02.404, , , , 
11-29-2023, 12:44:02:158, 0xAAAA, 1523, 02.403, , , , 
11-29-2023, 12:44:02:280, 0xAAAA, 1524, 02.408, , , , 
11-29-2023, 12:44:02:403, 0xAAAA, 1525, 02.410, , , , 
11-29-2023, 12:44:02:524, 0xAAAA, 1526, 02.407, , , , 
11-29-2023, 12:44:02:645, 0xAAAA, 1527, 02.405, , , , 
11-29-2023, 12:44:02:767, 0xAAAA, 1528, 02.406, , , , 
11-29-2023, 12:44:02:892, 0xAAAA, 1529, 02.407, , , , 
11-29-2023, 12:44:03:14, 0xAAAA, 1530, 02.404, , , , 
11-29-2023, 12:44:03:134, 0xAAAA, 1531, 02.405, , , , 
11-29-2023, 12:44:03:253, 0xAAAA, 1532, 02.405, , , , 
11-29-2023, 12:44:03:405, 0xAAAA, 1533, 02.407, , , , 
11-29-2023, 12:44:03:529, 0xAAAA, 1534, 02.405, , , , 
11-29-2023, 12:44:03:621, 0xAAAA, 1535, 02.408, , , , 
11-29-2023, 12:44:03:772, 0xAAAA, 1535, 02.408, , , , 
11-29-2023, 12:44:03:891, 0xAAAA, 1537, 02.406, , , , 
11-29-2023, 12:44:04:11, 0xAAAA, 1538, 02.405, , , , 
11-29-2023, 12:44:04:133, 0xAAAA, 1539, 02.404, , , , 
11-29-2023, 12:44:04:258, 0xAAAA, 1540, 02.403, , , , 
11-29-2023, 12:44:04:380, 0xAAAA, 1541, 02.404, , , , 
11-29-2023, 12:44:04:502, 0xAAAA, 1542, 02.404, , , , 
11-29-2023, 12:44:04:653, 0xAAAA, 1543, 02.406, , , , 
11-29-2023, 12:44:04:742, 0xAAAA, 1544, 02.405, , , , 
11-29-2023, 12:44:04:895, 0xAAAA, 1545, 02.407, , , , 
11-29-2023, 12:44:05:17, 0xAAAA, 1546, 02.407, , , , 
11-29-2023, 12:44:05:138, 0xAAAA, 1547, 02.405, , , , 
